Indonesia,Batak
"Secara umum, tidak ada kendala dalam menjangkau kelompok tertentu guna mendorong mereka supaya menyekolahkan anaknya ke SD","Sasara Boa, Ndada Isi Abat Bagas Mandungdung Horong Hoding Guna Mangonjar Nasida Asa Pasikkolahon Anakna Tu SD"
Sebagian masyarakat NTT juga lebih mementingkan adat dan kehormatan,Deba Masarakat NTT Musem Lobi Mangkaringkothon Bangko Dohot Hasangapon
Mereka bersedia menjual ternak mereka untuk kepentingan adat tapi tidak untuk kepentingan sekolah,Nasida Ra Manggadis Hurje Nasida Di Guna Bangko Alai Ndada Di Guna Sikkola
Masalah akses keuangan berkaitan dengan biaya penunjang sekolah dan kebutuhan keluarga sehari-hari,Hasuharan akses Parhepengon Hombar Dohot Ongkos penunjang Sikkola Dohot Haporluon Tondong Sadari hari
Alasan-alasan lainnya meliputi aoeotak berata yang aoekebandelana atau kenakalan remaja,Sidalian Habalian Manghakam Utokutok Bonton Na kebandelan Manang Hajungkaton Bajar
Alasan ekonomi juga menjadi sebab mengapa anak tidak masuk sekolah,Sidalian Ekonomi Musem Jala Ala Amban Anak Ndada Masuk Sikkola
Sebagian besar siswa tidak pernah tidak masuk sekolah dalam waktu yang panjang,Deba Balga Anaksikkola Ndada Hea Ndada Masuk Sikkola Bagas Tingki Na Ganjang
ia juga merasa tidak melihat masa depan yang lebih baik dengan melanjutkan sekolah,Ibana Musem Manginona Ndada Marnida Tingki Jolo Na Lobi Denggan Dohot Manguduti Sikkola
Kedua program tersebut didesain untuk mencapai sejumlah tujuan yang sama,Paduahon Ruhutruhut tersebut didesain Di Sahat sejumlah Sipareakan Na Sarupa
keharusan melahirkan dengan pertolongan tenaga kesehatan;,Paringkonan Manubuhon Dohot Tumpak Gogo Hahipason
"Terkait dengan butir b, informan di setiap tingkat tidak hanya dibatasi pada informan tertentu","Porot Dohot Biji b, informan I Be Tingkat Ndada Holan Dituhoi Di informan Hoding"
"Berdasarkan temuan-temuan tersebut, pelaksana PNPM Generasi dan PKH harus memperhatikan paling tidak tiga hal utama, yaitu","Marbingkas temuan-temuan tersebut, pelaksana PNPM Sundut Dohot PKH Ingkon Mamparateatehon Timbil Ndada Tolu Bongka Lopok, Ima"
"Demikian juga di tingkat desa, perlu dilakukan wawancara terhadap kepala dusun, kepala urusan kesejahteraan, dan lainnya","Alai Musem I Tingkat Lumban, Porlu Dipadalan Manungkunhatorangan Maradophon Ulu Lumban, Ulu Ardoan Pangabakan, Dohot Habalian"
dan keharusan bagi anak usia 6-11 bulan untuk mendapatkan Vitamin A,Dohot Paringkonan Sagi Anak Umur Onom 11 Bulan Di Mandapothon Pitamin A
Kedua program ini menargetkan 12 indikator sebagai syarat penerimaan rutin program,Paduahon Ruhutruhut On menargetkan Sampuludua indikator Ansiatni syarat Panjaloon rutin Ruhutruhut
Data tersebut akan menjadi dasar untuk evaluasi dampak program di wilayah yang sama,Data tersebut Naeng Jala Bingkas Di evaluasi Panghorhon Ruhutruhut I Luat Na Sarupa
Efektivitas program diukur dengan membandingkan kondisi sebelum dan sesudah program dijalankan,Efektivitas Ruhutruhut Disuhat Dohot Patudoshon kondisi Tagan Dohot Dung Ruhutruhut dijalankan
Rincian pertanyaan pokok disajikan dalam Tabel 1,Rincian Sungkunsungkun Bona Diparade Bagas Tabel Sada
"Dalam PNPM Generasi, persyaratan didasarkan pada kinerja pengelolaan keuangan di tiap desa","Bagas PNPM Sundut, persyaratan didasarkan Di kinerja pengelolaan Parhepengon I tiap Lumban"
Studi juga menyediakan latar belakang konteks sosial beberapa lokasi program,Studi Musem Patupahon latar Pudi konteks sosial Pigapiga Inganan Ruhutruhut
FGD dilakukan menggunakan panduan pertanyaan diskusi,FGD Dipadalan Mamangke panduan Sungkunsungkun Marsirarion
"Dalam PNPM Generasi, dana tunai dialokasikan ke komunitas, bukan ke rumah tangga secara perseorangan","Bagas PNPM Sundut, Hepeng Terter dialokasikan Tu Parsadaan, Ate Tu Jabu Balatuk Sasara perseorangan"
Delapan FGD telah dilakukan di setiap desa,Ualu FGD Nunga Dipadalan I Be Lumban
Daftar informan dan FGD di setiap desa/kelurahan disajikan pada Lampiran 1,Surat informan Dohot FGD I Be Lumban/kelurahan Diparade Di Lampiran Sada
dan satu kelompok bapak dari anak usia SMP,Dohot Sada Horong Ama Sian Anak Umur SMP
Wawancara mendalam terhadap informan kunci menggunakan panduan pertanyaan,Manungkunhatorangan Pandebagas Maradophon informan Hunsi Mamangke panduan Sungkunsungkun
Peta kabupaten dan kecamatan tersebut dapat dilihat pada Lampiran 2-6,Peta Kabupaten Dohot kecamatan tersebut Dohar Ditatap Di Lampiran Dua 6
"Secara khusus, tujuan studi baseline kualitatif untuk program PNPM Generasi dan PKH ini adalah 1","Sasara Sudung, Sipareakan studi baseline kualitatif Di Ruhutruhut PNPM Sundut Dohot PKH On Adongma Sada"
Beberapa pengamatan terhadap posyandu kemudian dilakukan setelah penelitian lapangan utama selesai,Pigapiga pengamatan Maradophon posyandu Jadi Dipadalan Dungkon penelitian Adaran Lopok Sae
Pemilihan desa/kelurahan juga mempertimbangkan keberadaan dan jadwal penyelenggaraan posyandu,Pamilian Lumban/kelurahan Musem Parisahon Haadongan Dohot Jadual penyelenggaraan posyandu
Kriteria tambahan dalam pemilihan desa/kelurahan adalah jarak dari puskesmas dan tingkat keaktifan posyandu,Kriteria Angkup Bagas Pamilian Lumban/kelurahan Adongma Holang Sian puskesmas Dohot Tingkat keaktifan posyandu
"Di Provinsi Jawa Barat, dua kabupaten yang dipilih adalah Kabupaten Sumedang dan Kabupaten Cirebon","I Provinsi Jaua Pastina, Dua Kabupaten Na Dipillit Adongma Kabupaten Sumedang Dohot Kabupaten Cirebon"
"Diupayakan supaya di antara peserta FGD, ada juga yang sedang hamil","Sipaadong Asa I Holangholang Parsidohot FGD, Isi Musem Na Andorang Sandang"
Pemilihan sekolah ini pada kebanyakan kasus dilakukan setelah dilakukan FGD di tingkat SD dan SMP,Pamilian Sikkola On Di Pagodanghu kasus Dipadalan Dungkon Dipadalan FGD I Tingkat SD Dohot SMP
1.5 Struktur Laporan Laporan ini dibagi menjadi lima bab,Sampululima Struktur Boaboa Boaboa On dibagi Jala Lima Turpuk
Bab III merupakan sintesis dari ketersediaan dan penggunaan pelayanan kesehatan ibu dan anak,Turpuk III merupakan sintesis Sian ketersediaan Dohot penggunaan Pangurupion Hahipason Ina Dohot Anak
Bab IV merupakan sintesis dari ketersediaan dan penggunaan pelayanan pendidikan dasar,Turpuk IV merupakan sintesis Sian ketersediaan Dohot penggunaan Pangurupion Parsiajaran Bingkas
satu desa yang mudah diakses dan satu desa yang relatif sulit diakses,Sada Lumban Na Bulus diakses Dohot Sada Lumban Na relatif Gogot diakses
Desa Boentuka di Kecamatan Batu Putih khususnya berada di jalur jalan utama Kupang-Soe,Lumban Boentuka I Kecamatan Batu Bontar khususnya Maradong I Barur Dalan Lopok Kupang-Soe
"Desa Pamekaran di Kecamatan Rancakalong, Sumedang dan Desa Tangkil di Kecamatan Susukan, Cirebon","Lumban Pamekaran I Kecamatan Rancakalong, Sumedang Dohot Lumban Tangkil I Kecamatan Susukan, Cirebon"
"Jika musim hujan tiba, jalan tersebut menjadi licin dan tidak bisa dilalui oleh kendaraan","Molo Partaonan Udan Ro, Dalan tersebut Jala Landit Dohot Ndada Boi Dibolus Angkup Motor"
Hanya Desa Sukaratu di Kecamatan Darmaraja yang wilayahnya relatif rata,Holan Lumban Sukaratu I Kecamatan Darmaraja Na wilayahnya relatif Hombang
Sebagian masyarakat NTT juga mengandalkan tanaman tahunan/keras,Deba Masarakat NTT Musem Mangasanghon Suansuanan Leleng/Gogo
"Selain itu, di Kecamatan Buahdua, kedua desa sampel juga dilalui beberapa sungai","Angkupni Ido, I Kecamatan Buahdua, Paduahon Lumban sampel Musem Dibolus Pigapiga Binanga"
"Selain lahannya tidak subur, curah hujannya pun sangat rendah","Angkupni lahannya Ndada Lomak, Use hujannya Pe Sai Hetek"
"Bahkan, luas lahan sawahnya mendominasi wilayah desa","Gari, Bolak Tano Haumana mendominasi Luat Lumban"
"Khususnya di Desa Fatufetto, ada juga yang bekerja sebagai nelayan","Khususnya I Lumban Fatufetto, Isi Musem Na Markarejo Ansiatni Pardengke"
"Oleh karena itu, mereka tidak hanya mengandalkan pertanian lahan kering saja, namun mereka juga beternak dan berkebun","Angkup Alani Ido, Nasida Ndada Holan Mangasanghon pertanian Tano Mahiang Ondeng, Alai Nasida Musem Marpinahan Dohot Markobun"
Masyarakat pesisir di Desa Mundu Pesisir dan Desa Mertasinga lebih banyak yang bekerja sebagai nelayan,Masarakat Horisan I Lumban Mundu Horisan Dohot Lumban Mertasinga Lobi Godang Na Markarejo Ansiatni Pardengke
"Selain itu, sebagian dari mereka juga bekerja sebagai pedagang, tukang ojek, atau PNS","Angkupni Ido, Deba Sian Nasida Musem Markarejo Ansiatni Partigatiga, Pande ojek, Manang PNS"
"Di seluruh desa sampel di Kabupaten Sumedang, sebagian besar masyarakatnya bekerja sebagai petani penggarap padi sawah","I Sandok Lumban sampel I Kabupaten Sumedang, Deba Balga masyarakatnya Markarejo Ansiatni Parhauma Pangarimba Eme Hauma"
Sebagian besar desa sampel di Kabupaten Cirebon juga mengalami kesulitan air bersih,Deba Balga Lumban sampel I Kabupaten Cirebon Musem Mandalani Hagogotan Aek Ias
"Di musim kemarau, air bersih menjadi barang langka bagi masyarakat","I Partaonan Logo, Aek Ias Jala Barang Lingka Sagi Masarakat"
Tingkat kepadatan penduduk dua desa perkotaan di Kabupaten Cirebon berbeda jauh,Tingkat kepadatan Isi Dua Lumban perkotaan I Kabupaten Cirebon Pinjil Tais
"Selain itu, ada juga beberapa desa yang menjadi lokasi berbagai industri pengolahan","Angkupni Ido, Isi Musem Pigapiga Lumban Na Jala Inganan Marmansam Industri pengolahan"
"Namun, di dua kelurahan di Kota Kupang, rumah penduduk sudah didominasi oleh bangunan permanen","Alai, I Dua kelurahan I Kota Kupang, Jabu Isi Naung didominasi Angkup Godung permanen"
Kondisi kelangkaan air bersih yang lebih buruk lagi dihadapi oleh masyarakat di NTT,Kondisi kelangkaan Aek Ias Na Lobi Buruk Muse Didompahi Angkup Masarakat I NTT
2.4 Kelompok Komunitas dan Kelembagaan Kelembagaan standar di tingkat desa/kelurahan yang seharusnya ada meliputi,Duapuluopat Horong Parsadaan Dohot Kelembagaan Kelembagaan standar I Tingkat Lumban/kelurahan Na Saingkondo Isi Manghakam
"Karang taruna sebagai lembaga yang mengkoordinasi berbagai kegiatan kepemudaan, seperti kesenian dan olahraga;","Harang taruna Ansiatni Dalihan Na mengkoordinasi Marmansam kegiatan kepemudaan, Tudos kesenian Dohot Olahraga"
"Demikian pula halnya di Desa Oehela, Kecamatan Batu Putih","Alai Antong halnya I Lumban Oehela, Kecamatan Batu Bontar"
Masyarakat dan aparat desa setempat juga berinisiatif untuk membangun sebuah TK,Masarakat Dohot aparat Lumban setempat Musem berinisiatif Di Mamungka Sabiji TK
"Di hampir semua desa sampel, terdapat polindes yang dikelola oleh bidan desa","I Giot Luhut Lumban sampel, Tardapot polindes Na Diradoti Angkup Sibaso Lumban"
"Demikian pula, kinerja tiap lembaga berbeda-beda antardesa sampel, seperti dapat dilihat dalam Lampiran 10","Alai Antong, kinerja tiap Dalihan Pinjil antardesa sampel, Tudos Dohar Ditatap Bagas Lampiran Sampulu"
Demikian pula halnya di NTT yang semarak juga dengan kegiatan komunitas gereja,Alai Antong halnya I NTT Na Bungaran Musem Dohot kegiatan Parsadaan Gareja
Setiap posyandu biasanya dikelola oleh tiga hingga lima orang kader,Be posyandu Somalna Diradoti Angkup Tolu Sondot Lima Jolma kader
"Dengan demikian, bidan desa dapat dengan lebih mudah mengkoordinasi pelaksanaannya","Dohot Alai, Sibaso Lumban Dohar Dohot Lobi Bulus mengkoordinasi pelaksanaannya"
"Selain itu, di setiap kecamatan, juga tersedia puskesmas dan di beberapa desa, juga ada puskesmas pembantu","Angkupni Ido, I Be kecamatan, Musem Ture puskesmas Dohot I Pigapiga Lumban, Musem Isi puskesmas Hatoban"
Ketersediaan fasilitas pelayanan KIA di desa sampel di Jawa Barat dapat dilihat dalam Lampiran 11,Ketersediaan fasilitas Pangurupion KIA I Lumban sampel I Jaua Pastina Dohar Ditatap Bagas Lampiran Sampulusada
Hampir semua bidan desa juga membuka praktik di luar jam kerja dinasnya,Giot Luhut Sibaso Lumban Musem Mambuha praktik I Ruar Pungkul Karejo dinasnya
Hal ini tidak berlaku di wilayah perkotaan,Bongka On Ndada Marlakku I Luat perkotaan
"Di NTT, hanya di Desa Taunbaen, Kecamatan Biboki Utara terdapat pustu","I NTT, Holan I Lumban Taunbaen, Kecamatan Biboki Utara Tardapot pustu"
Konsekuensi negatifnya adalah bahwa masyarakat harus menempuh jarak yang cukup jauh untuk datang ke polindes tersebut,Konsekuensi negatifnya Adongma Ima Masarakat Ingkon Mandalani Holang Na Ris Tais Di Ro Tu polindes tersebut
"Di Jawa Barat, masyarakat dapat mengakses fasilitas sekolah setingkat SMP dengan relatif mudah","I Jaua Pastina, Masarakat Dohar mengakses fasilitas Sikkola setingkat SMP Dohot relatif Bulus"
Masyarakat desa lainnya harus mengakses puskesmas atau pustu yang ada di luar desa,Masarakat Lumban Habalian Ingkon mengakses puskesmas Manang pustu Na Isi I Ruar Lumban
"Selain itu, ada juga desa yang menjadi lokasi pustu, yaitu Desa Pamekaran di Kabupaten Sumedang","Angkupni Ido, Isi Musem Lumban Na Jala Inganan pustu, Ima Lumban Pamekaran I Kabupaten Sumedang"
"Selain itu, mereka juga masih bisa menjangkau sekolah lainnya yang berada di luar wilayah kecamatan","Angkupni Ido, Nasida Musem Nari Boi Mandungdung Sikkola Habalian Na Maradong I Ruar Luat kecamatan"
Keberadaan sekolah swasta berbasis keagamaan juga memberikan pilihan lain bagi masyarakat,Haadongan Sikkola Partikulir berbasis Haugamoon Musem Mangalehon Todoan Asing Sagi Masarakat
Peran sekolah semacam ini relatif lebih menonjol di Kabupaten Cirebon,Dohoti Sikkola Samansam On relatif Lobi Jollung I Kabupaten Cirebon
"Misalnya, masyarakat Desa Tangkil dapat mengakses SMP yang berada di Kecamatan Caringin dan Kecamatan Arjawinangun","Umpamana, Masarakat Lumban Tangkil Dohar mengakses SMP Na Maradong I Kecamatan Caringin Dohot Kecamatan Arjawinangun"
"Dengan kondisi seperti ini, target MDGs 2015 diperkirakan tidak dapat dicapai","Dohot kondisi Tudos On, target MDGs 2015 diperkirakan Ndada Dohar Didungdung"
Harapannya adalah bahwa fasilitas tersebut dapat dengan mudah dijangkau masyarakat,Sintasintana Adongma Ima fasilitas tersebut Dohar Dohot Bulus Didungdung Masarakat
Masyarakat Desa Mundu Pesisir juga bisa mengakses SMP yang berada di Kecamatan Arjawinangun atau di Kota Cirebon,Masarakat Lumban Mundu Horisan Musem Boi mengakses SMP Na Maradong I Kecamatan Arjawinangun Manang I Kota Cirebon
Paparan selanjutnya akan menjelaskan kondisi ketersediaan dan penggunaan pelayanan KIA saat ini,Paparan Saudutna Naeng Maniroi kondisi ketersediaan Dohot penggunaan Pangurupion KIA Sangga On
"Contoh lain adalah di Desa Sekon, Insana, TTU","Tiruan Asing Adongma I Lumban Sekon, Insana, TTU"
"Namun demikian, fasilitas pelayanan KIA tersebut masih belum memadai, terutama di wilayah-wilayah terpencil","Alai Alai, fasilitas Pangurupion KIA tersebut Nari Ndangdope memadai, Sumurung I Luat wilayah Tarpunjung"
Data tentang indikator-indikator kinerja penurunan kematian balita dan peningkatan kesehatan ibu disajikan pada Tabel 3,Data Olap indikator-indikator kinerja penurunan Hamamate Pesepese Dohot peningkatan Hahipason Ina Diparade Di Tabel Tolu
"Bila hujan, jalan menjadi becek dan licin","Nandigan Udan, Dalan Jala Maraekaek Dohot Landit"
"Fasilitas yang tersedia adalah bidan desa, polindes, dan posyandu","Fasilitas Na Ture Adongma Sibaso Lumban, polindes, Dohot posyandu"
"Sampai kini, tidak ada bidan pengganti di desa ini","Das Nuaeng, Ndada Isi Sibaso Panggonti I Lumban On"
aoeBidan tidak berada di tempat bukan berarti bidan meninggalkan desa,Sibaso Ndada Maradong I Inganan Ate Marlapatan Sibaso Manadingkon Lumban
"Karena ketiadaan bidan desa tersebut, polindes di desa ini juga tidak berfungsi sama sekali","Alani Hangalan Sibaso Lumban tersebut, polindes I Lumban On Musem Ndada Marguna Sarupa Sahali"
Ketidakadaan air menyebabkan bidan desa tidak bersedia untuk tinggal di polindes atau desa tersebut,Ketidakadaan Aek Manghorhon Sibaso Lumban Ndada Ra Di Tading I polindes Manang Lumban tersebut
"Hal ini disampaikan oleh seorang perawat yang bertugas sebagai bidan di Biboki Utara, TTU","Bongka On Pinasahat Angkup Sahalak Parorot Na Marsiulaon Ansiatni Sibaso I Biboki Utara, TTU"
Cakupan wilayah tugas bidan desa dan polindes meliputi seluruh desa,Cakupan Luat Turgas Sibaso Lumban Dohot polindes Manghakam Sandok Lumban
"Biasanya, sambil melakukan tindakan, misalnya imunisasi, bidan memberikan penjelasan kepada ibu tentang jadwal imunisasi","Somalna, Huhut Padalanhon Parulan, Umpamana imunisasi, Sibaso Mangalehon Manangkasion Tu Ina Olap Jadual imunisasi"
Posyandu sudah berada di setiap dusun di Jawa Barat secara menyeluruh,Posyandu Naung Maradong I Be Lumban I Jaua Pastina Sasara menyeluruh
Desa ini hanya memiliki sembilan orang kader yang aktif melayani enam posyandu,Lumban On Holan Mangarihon Sia Jolma kader Na aktif Marhalado Onom posyandu
Hampir semua posyandu aktif dan dikelola dengan baik oleh kader posyandu,Giot Luhut posyandu aktif Dohot Diradoti Dohot Denggan Angkup kader posyandu
Hal ini pada akhirnya memengaruhi kesediaan masyarakat untuk menjadi kader posyandu,Bongka On Di Ujungna memengaruhi kesediaan Masarakat Di Jala kader posyandu
"Sebagai akibatnya, ada dua posyandu yang tidak memiliki kader sama sekali; mereka hanya mengandalkan bidan dan petugas puskesmas","Ansiatni Hinorhonna, Isi Dua posyandu Na Ndada Mangarihon kader Sarupa Sahali Nasida Holan Mangasanghon Sibaso Dohot Parhobas puskesmas"
Mereka biasanya aktif dalam berbagai kegiatan desa bersama dengan kepala desa dan bidan desa,Nasida Somalna aktif Bagas Marmansam kegiatan Lumban Rap Dohot Ulu Lumban Dohot Sibaso Lumban
"Bagi masyarakat, kader posyandu merupakan sumber pengetahuan dan pertolongan terkait kesehatan ibu dan anak","Sagi Masarakat, kader posyandu merupakan Asal Parbinotoan Dohot Tumpak Porot Hahipason Ina Dohot Anak"
"Selama ini posisi kader posyandu sangat sentral, baik dalam pelayanan KIA modern maupun dalam kehidupan masyarakat","Saleleng On posisi kader posyandu Sai Ditongatonga, Denggan Bagas Pangurupion KIA modern Olope Bagas Hangoluan Masarakat"
"Selain kader utama atau ketua kader, kader posyandu yang lain cenderung berganti-ganti dan tidak bertahan lama","Angkupni kader Lopok Manang Katua kader, kader posyandu Na Asing Sundung Margonti Dohot Ndada Marpogo Leleng"
Puskesmas tidak populer di NTT karena adanya kendala akses fisik,Puskesmas Ndada Tuarang I NTT Alani Adongdo Abat akses Pardagingon
Kader posyandu jauh lebih paham mengenai situasi dan kondisi nyata masyarakat di desa dan dusunnya,Kader posyandu Tais Lobi Antus Mangonai Tingki Dohot kondisi Nata Masarakat I Lumban Dohot dusunnya
"Meskipun posisi mereka sentral dalam peningkatan taraf kesehatan masyarakat, tidak semuanya mendapatkan pelatihan","Aganpe posisi Nasida Ditongatonga Bagas peningkatan taraf Hahipason Masarakat, Ndada Sasudena Mandapothon pelatihan"
"Pada umumnya, bidan desa telah memiliki aoebidan kita, infus, dan pengukur tekanan darah","Di umumnya, Sibaso Lumban Nunga Mangarihon Sibaso kit, infus, Dohot Pangukur Pangondol Mudar"
Jenis pelatihan yang diberikan kepada para kader ini umumnya tidak baku dan berbeda tiap daerahnya,Ragam pelatihan Na Dilehon Tu Ni kader On umumnya Ndada Tota Dohot Pinjil tiap Luatna
"Bahkan, ada juga bangunan polindes yang sekaligus menjadi tempat tinggal bidan","Gari, Isi Musem Godung polindes Na Huhut Jala Inganan Tading Sibaso"
Sebagian bangunan polindes telah permanen lengkap dengan ruang periksa dan ruang inap bagi ibu pascalahir,Deba Godung polindes Nunga permanen Pungu Dohot ruang Reso Dohot ruang Sorang Sagi Ina pascalahir
"Meskipun demikian, banyak anggota masyarakat yang menginginkan diadakannya bangunan permanen ini","Aganpe Alai, Godang Ruas Masarakat Na Manjarga diadakannya Godung permanen On"
"Ada beberapa bangunan polindes juga yang dibangun atas prakarsa masyarakat, selain melalui kegiatan PPK","Isi Pigapiga Godung polindes Musem Na Dipauli Ginjang prakarsa Masarakat, Angkupni Marhitehite kegiatan PPK"
"Selain itu, ada juga dusun yang aksesnya lebih dekat ke puskesmas di desa tetangga daripada ke polindes di desa bersangkutan","Angkupni Ido, Isi Musem Lumban Na aksesnya Lobi Jonok Tu puskesmas I Lumban Hombarjabu daripada Tu polindes I Lumban Marsangkotan"
"Pada kebanyakan hasil pengamatan, posyandu tidak memiliki bangunan permanen","Di Pagodanghu Omo pengamatan, posyandu Ndada Mangarihon Godung permanen"
"Namun, ada juga polindes yang bangunannya belum permanen dan tidak memiliki fasilitas air dan listrik","Alai, Isi Musem polindes Na bangunannya Ndangdope permanen Dohot Ndada Mangarihon fasilitas Aek Dohot Listirik"
Keadaan menjadi lebih buruk lagi dengan tidak adanya fasilitas dasar seperti listrik,Hadongan Jala Lobi Buruk Muse Dohot Ndada Adongdo fasilitas Bingkas Tudos Listirik
Proses penggantian biaya Askeskin terkadang juga tidak berjalan dengan mudah,Parkaro penggantian Ongkos Askeskin Sipata Musem Ndada Mardalan Dohot Bulus
Beban kerja mereka menjadi lebih berat lagi dengan adanya kondisi infrastruktur jalan yang buruk,Pamarai Karejo Nasida Jala Lobi Bonton Muse Dohot Adongdo kondisi infrastruktur Dalan Na Buruk
Sedikitnya jumlah bidan desa dibandingkan dengan luasnya cakupan wilayah pelayanan menyebabkan beban kerja bidan menjadi berat,Saotikdo Lonsam Sibaso Lumban Ditudoshon Dohot luasnya cakupan Luat Pangurupion Manghorhon Pamarai Karejo Sibaso Jala Bonton
"Idealnya, dalam satu desa dengan wilayah yang luas cakupannya dan terpencil, diperlukan lebih dari satu bidan desa","Idealnya, Bagas Sada Lumban Dohot Luat Na Bolak cakupannya Dohot Tarpunjung, Dihaporluhon Lobi Sian Sada Sibaso Lumban"
"Dengan keadaan yang ada, terdapat bidan desa yang menggabungkan dua posyandu atau lebih dalam satu kali penyelenggaraan posyandu","Dohot Hadongan Na Isi, Tardapot Sibaso Lumban Na Padomuhon Dua posyandu Manang Lobi Bagas Sada Loni penyelenggaraan posyandu"
"Kecuali kader posyandu, pada umumnya masyarakat masih sepenuhnya menjadi pengguna jasa pelayanan","Dungkonsa kader posyandu, Di umumnya Masarakat Nari Sagokna Jala pengguna Haburjuon Pangurupion"
"Tidak seperti di Jawa Barat, di NTT, bidan desa tidak melakukan praktik pribadi","Ndada Tudos I Jaua Pastina, I NTT, Sibaso Lumban Ndada Padalanhon praktik Diri"
Biaya melahirkan di NTT lebih kecil daripada biaya melahirkan di Jawa Barat yang berkisar antara Rp400.000-600.000,Ongkos Manubuhon I NTT Lobi Metmet daripada Ongkos Manubuhon I Jaua Pastina Na Marhusor Holangholang Rp400.000-600.000
Mereka tidak terlibat secara langsung dalam proses pengambilan keputusan menyangkut penyediaan pelayanan,Nasida Ndada Marsapusapu Sasara Mamintor Bagas Parkaro pengambilan Gotos menyangkut penyediaan Pangurupion
Peningkatan pelayanan KIA juga masih sangat bergantung pada pemerintah dan pihak pemberi pelayanan,Peningkatan Pangurupion KIA Musem Nari Sai Marraungraung Di Pamarenta Dohot Dingkan pemberi Pangurupion
"Bahkan, masyarakat sangat mendukung dan mengandalkan posyandu","Gari, Masarakat Sai Mangolophon Dohot Mangasanghon posyandu"
Aparat desa juga sering hadir dalam kegiatan posyandu,Aparat Lumban Musem Jotjot Andar Bagas kegiatan posyandu
polindes dan rumah bidan umumnya dibangun oleh warga desa,polindes Dohot Jabu Sibaso umumnya Dipauli Angkup Pangisinihuta Lumban
CWS juga memberikan obat cacing kepada anak-anak,CWS Musem Mangalehon Ubat Gilok Tu Anak
"Di beberapa wilayah, masyarakat pun bersedia berjalan berkilo-kilo jauhnya untuk hadir di posyandu","I Pigapiga Luat, Masarakat Pe Ra Mardalan Kilo jauhnya Di Andar I posyandu"
"Hal yang sama terjadi di Desa Oehela, Batu Putih, TTU","Bongka Na Sarupa Manjadi I Lumban Oehela, Batu Bontar, TTU"
Dukungan aparat desa dan tokoh masyarakat terhadap pelayanan KIA modern juga sangat besar,Songkongan aparat Lumban Dohot Pangituai Masarakat Maradophon Pangurupion KIA modern Musem Sai Balga
"Secara umum, kerja sama penyedia pelayanan KIA dengan masyarakat, termasuk aparat desa dan tokoh masyarakat, sangat baik","Sasara Boa, Karejo Sarupa penyedia Pangurupion KIA Dohot Masarakat, Padohot aparat Lumban Dohot Pangituai Masarakat, Sai Denggan"
Berikut ini beberapa pernyataan masyarakat,Basa On Pigapiga pernyataan Masarakat
"Masyarakat juga bersedia menjadi kader posyandu walau tanpa insentif sekalipun, atau kalaupun ada, sangat kecil jumlahnya","Masarakat Musem Ra Jala kader posyandu Agan Sopola insentif Atikpe, Manang Nang Isi, Sai Metmet Lonsamna"
membuat bidan desa mengalami kesukaran untuk dapat menjangkau mereka,Mambaen Sibaso Lumban Mandalani Parhansitan Di Dohar Mandungdung Nasida
"Namun, secara khusus mereka mengalami kesulitan dalam menjangkau paling tidak tiga kelompok masyarakat tertentu,","Alai, Sasara Sudung Nasida Mandalani Hagogotan Bagas Mandungdung Timbil Ndada Tolu Horong Masarakat Hoding ,"
"Di NTT, peran lembaga donor cukup dominan dalam mendorong masyarakat untuk menggunakan pelayanan KIA","I NTT, Dohoti Dalihan donor Ris dominan Bagas Mangonjar Masarakat Di Mamangke Pangurupion KIA"
"Di Kabupaten Cirebon, nelayan seringkali harus mencari ikan jauh ke luar daerah","I Kabupaten Cirebon, Pardengke seringkali Ingkon Luluan Dengke Tais Tu Ruar Huta"
Ada juga upacara penguburan tali ari-ari juga dilakukan oleh paraji itu,Isi Musem upacara penguburan Tali ari-ari Musem Dipadalan Angkup paraji Ido
"Tabel tersebut juga mengindikasikan bahwa di NTT, ada wilayah yang jumlah dukunnya justru meningkat","Tabel tersebut Musem mengindikasikan Ima I NTT, ada Luat Na Lonsam dukunnya Laos Manimbuknimbuk"
"Seorang dukun beranak di Darmaraja, Sumedang, Jawa Barat memberikan kesaksian berikut","Sahalak Datu Maranak I Darmaraja, Sumedang, Jaua Pastina Mangalehon kesaksian Basa"
Masyarakat membangun rumah kebun di ladang mereka untuk ditempati selama musim persiapan lahan dan musim panen,Masarakat Mamungka Jabu Kobun I Hauma Nasida Di Diingani Saleleng Partaonan persiapan Tano Dohot Partaonan Pariama
"Di sebagian besar wilayah Jawa Barat, kecuali di wilayah terpencil, keberadaan dan peran dukun beranak semakin berkurang","I Deba Balga Luat Jaua Pastina, Dungkonsa I Luat Tarpunjung, Haadongan Dohot Dohoti Datu Maranak Lam Moru"
"Di NTT, dukun beranak bahkan juga menjadi kader posyandu","I NTT, Datu Maranak Gari Musem Jala kader posyandu"
"Pada Tabel 4, terlihat bahwa jumlah dukun beranak di beberapa kecamatan justru meningkat","Di Tabel Opat, Tarbereng Ima Lonsam Datu Maranak I Pigapiga kecamatan Laos Manimbuknimbuk"
"Untuk ibu hamil, dapat dikatakan bahwa seluruhnya telah melakukan pemeriksaan kesehatan secara rutin","Di Ina Sandang, Dohar Nidok Ima Saguman Nunga Padalanhon pemeriksaan Hahipason Sasara rutin"
